SHITOMASI, BRISK, 95, 88, 80, 90, 82, 79, 85, 86, 82, 
SHITOMASI, BRIEF, 115, 111, 104, 101, 102, 102, 100, 109, 100, 
SHITOMASI, ORB, 104, 103, 100, 102, 103, 98, 98, 102, 97, 
SHITOMASI, FREAK, 90, 88, 87, 89, 83, 78, 81, 86, 84, 
SHITOMASI, AKAZE,  Assertion failed
SHITOMASI, SIFT, 112, 109, 104, 103, 99, 101, 96, 106, 97, 
HARRIS, BRISK, 19, 17, 20, 16, 8, 1, 9, 23, 4, 
HARRIS, BRIEF, 22, 21, 22, 17, 11, 1, 13, 31, 15, 
HARRIS, ORB, 16, 18, 18, 12, 7, 2, 11, 26, 8, 
HARRIS, FREAK, 20, 17, 20, 19, 12, 0, 9, 23, 5, 
HARRIS, AKAZE,  Assertion failed
HARRIS, SIFT, 19, 19, 17, 18, 4, 1, 9, 30, 9, 
FAST, BRISK, 97, 104, 101, 98, 85, 107, 107, 100, 100, 
FAST, BRIEF, 119, 130, 118, 126, 108, 123, 131, 125, 119, 
FAST, ORB, 122, 122, 115, 129, 107, 120, 126, 122, 118, 
FAST, FREAK, 97, 98, 94, 99, 88, 99, 104, 99, 103, 
FAST, AKAZE,  Assertion failed
FAST, SIFT, 118, 123, 110, 119, 114, 119, 123, 117, 103, 
BRISK, BRISK, 171, 176, 157, 176, 174, 188, 173, 171, 184, 
BRISK, BRIEF, 178, 205, 185, 179, 183, 195, 207, 189, 183, 
BRISK, ORB, 160, 171, 157, 170, 154, 180, 171, 175, 172, 
BRISK, FREAK, 160, 178, 156, 173, 160, 183, 169, 179, 168, 
BRISK, AKAZE,  Assertion failed
BRISK, SIFT, 182, 193, 169, 183, 171, 195, 194, 176, 183, 
ORB, BRISK, 73, 74, 79, 85, 79, 92, 90, 88, 91, 
ORB, BRIEF, 49, 43, 45, 59, 53, 78, 68, 84, 66, 
ORB, ORB, 65, 69, 71, 85, 91, 101, 95, 93, 91, 
ORB, FREAK, 42, 36, 45, 47, 44, 51, 52, 49, 55, 
ORB, AKAZE,  Assertion failed
ORB, SIFT, 67, 79, 78, 79, 82, 95, 95, 94, 94, 
AKAZE, BRISK, 137, 125, 129, 129, 131, 132, 142, 146, 144, 
AKAZE, BRIEF, 141, 134, 131, 130, 134, 146, 150, 148, 152, 
AKAZE, ORB, 130, 129, 128, 115, 132, 132, 137, 137, 146, 
AKAZE, FREAK, 126, 128, 128, 121, 123, 132, 145, 148, 137, 
AKAZE, AKAZE, 138, 138, 133, 127, 129, 146, 147, 151, 150, 
AKAZE, SIFT, 134, 134, 130, 136, 137, 147, 147, 154, 151, 
SIFT, BRISK, 64, 66, 62, 66, 59, 64, 64, 67, 80, 
SIFT, BRIEF, 86, 78, 76, 85, 69, 74, 76, 70, 88, 
SIFT, ORB,  Insufficient memory
SIFT, FREAK, 64, 72, 65, 66, 63, 58, 64, 65, 79, 
SIFT, AKAZE,  Assertion failed
SIFT, SIFT, 82, 81, 85, 93, 90, 81, 82, 102, 104, 
